City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
267,baker city,1,US,1542484380,53,44.77,44.06,1.9,-117.83
268,ulaanbaatar,0,MN,1542484800,76,47.92,-4.01,2.24,106.92
269,mahebourg,40,MU,1542484800,83,-20.41,73.4,9.17,57.7
270,rio branco,40,BR,1542484800,78,-9.98,82.4,10.29,-67.82
271,brae,0,GB,1542484200,87,60.4,48.2,20.8,-1.35
272,cayenne,0,GF,1542486600,74,4.94,84.2,10.29,-52.33
273,wukari,20,NG,1542487231,38,7.87,80.97,5.14,9.78
274,lasa,20,CY,1542484800,63,34.92,64.4,11.41,32.53
275,balakhta,32,RU,1542487231,100,55.38,-8.59,2.68,91.62
276,bend,1,US,1542485700,49,44.06,46.94,3.36,-121.32
277,moss vale,0,AU,1542484800,100,-34.55,55.4,4.7,150.37
278,talaya,76,RU,1542487232,87,55.79,12.03,6.49,84.89
279,pekalongan,56,ID,1542487232,100,-6.89,83.49,3.36,109.67
280,soke,0,ML,1542487233,59,13.6,77.86,2.46,-5.94
281,dawlatabad,92,AF,1542487233,97,36.41,45.6,2.8,64.91
282,lastoursville,80,GA,1542487233,99,-0.81,70.98,1.68,12.73
283,salacgriva,0,LV,1542487233,91,57.75,41.64,13.42,24.36
284,coaticook,75,CA,1542485880,100,45.13,33.62,8.05,-71.8
285,saldanha,76,PT,1542487234,91,41.42,45.19,4.25,-6.55
286,laguna,5,MX,1542483600,12,27.52,80.6,3.36,-110.01
287,lososina,0,RU,1542487235,100,49.0,24.22,10.4,140.31
288,auki,0,NG,1542487235,38,12.18,73.72,9.95,6.51
289,college,1,US,1542484680,86,64.86,2.48,5.26,-147.8
290,necochea,44,AR,1542487235,95,-38.55,60.18,18.57,-58.74
291,sao joao da barra,40,BR,1542484800,65,-21.64,80.6,9.17,-41.05
292,sitka,68,US,1542486965,59,37.17,37.36,20.02,-99.65
293,cherskiy,44,RU,1542487237,77,68.75,-17.59,3.69,161.3
294,kruisfontein,0,ZA,1542487237,91,-34.0,59.37,7.72,24.73
295,champerico,75,MX,1542483660,54,16.38,80.6,4.7,-93.6
296,haines junction,100,CA,1542487237,92,60.75,17.97,2.68,-137.51
297,ahipara,68,NZ,1542487069,83,-35.17,62.7,1.45,173.16
298,redmond,1,US,1542485700,46,47.67,53.06,6.93,-122.12
299,vaasa,0,FI,1542484200,70,63.1,42.8,17.22,21.62
300,sinjai,36,ID,1542487238,100,-5.12,74.4,2.35,120.25
301,luderitz,8,NA,1542487238,68,-26.65,60.94,22.48,15.16
302,acapulco,5,MX,1542484260,66,16.86,86.0,6.93,-99.88
303,bensonville,75,LR,1542484800,94,6.45,78.8,5.93,-10.61
304,mabaruma,92,GY,1542487239,87,8.2,80.97,7.61,-59.78
305,qaqortoq,75,GL,1542484200,86,60.72,26.6,2.24,-46.03
306,berezniki,92,RU,1542487240,94,59.41,30.75,9.95,56.8
